Experiment_ID,Model,Model_Full_Name,Transfer_Learning_Mode,Initialization,Train_Dataset_A,Train_Dataset_B,Train_Combination,Test_Dataset_C,Train_A_Path,Train_B_Path,Test_C_Path,Train_Split,Validation_Split,Test_Split,Experiment_Description,Localization_F1,No_Damage_F1,Minor_Damage_F1,Major_Damage_F1,Destroyed_F1,Damage_Macro_F1,Overall_Score,Run_Status,Notes
HRTBDA_COMBO_0168,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + HURRICANE-LAURA, test on HURRICANE-IAN",,,,,,,,Not started,
HRTBDA_COMBO_0169,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + HURRICANE-LAURA, test on HURRICANE-LAURA",,,,,,,,Not started,
HRTBDA_COMBO_0170,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + HURRICANE-LAURA, test on HURRICANE-LAURA",,,,,,,,Not started,
HRTBDA_COMBO_0171,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + HURRICANE-LAURA, test on MOUNT-SEMERU-ERUPTION",,,,,,,,Not started,
HRTBDA_COMBO_0172,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + HURRICANE-LAURA, test on MOUNT-SEMERU-ERUPTION",,,,,,,,Not started,
HRTBDA_COMBO_0173,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + HURRICANE-LAURA, test on STVINCENT-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0174,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + HURRICANE-LAURA, test on STVINCENT-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0175,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,TEXAS-TORNADOES,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/TEXAS-TORNADOES,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + HURRICANE-LAURA, test on TEXAS-TORNADOES",,,,,,,,Not started,
HRTBDA_COMBO_0176,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,TEXAS-TORNADOES,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/TEXAS-TORNADOES,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + HURRICANE-LAURA, test on TEXAS-TORNADOES",,,,,,,,Not started,
HRTBDA_COMBO_0177,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,TONGA-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/TONGA-VOLCANO,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + HURRICANE-LAURA, test on TONGA-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0178,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,TONGA-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/TONGA-VOLCANO,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + HURRICANE-LAURA, test on TONGA-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0179,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,xBD,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/xBD,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + HURRICANE-LAURA, test on xBD",,,,,,,,Not started,
HRTBDA_COMBO_0180,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,HURRICANE-LAURA,HURRICANE-DELTA + HURRICANE-LAURA,xBD,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/xBD,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + HURRICANE-LAURA, test on xBD",,,,,,,,Not started,
HRTBDA_COMBO_0181,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on EARTHQUAKE-TURKEY",,,,,,,,Not started,
HRTBDA_COMBO_0182,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on EARTHQUAKE-TURKEY",,,,,,,,Not started,
HRTBDA_COMBO_0183,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on HURRICANE-DELTA",,,,,,,,Not started,
HRTBDA_COMBO_0184,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on HURRICANE-DELTA",,,,,,,,Not started,
HRTBDA_COMBO_0185,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on HURRICANE-IAN",,,,,,,,Not started,
HRTBDA_COMBO_0186,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on HURRICANE-IAN",,,,,,,,Not started,
HRTBDA_COMBO_0187,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on HURRICANE-LAURA",,,,,,,,Not started,
HRTBDA_COMBO_0188,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on HURRICANE-LAURA",,,,,,,,Not started,
HRTBDA_COMBO_0189,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on MOUNT-SEMERU-ERUPTION",,,,,,,,Not started,
HRTBDA_COMBO_0190,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on MOUNT-SEMERU-ERUPTION",,,,,,,,Not started,
HRTBDA_COMBO_0191,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on STVINCENT-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0192,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on STVINCENT-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0193,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,TEXAS-TORNADOES,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/TEXAS-TORNADOES,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on TEXAS-TORNADOES",,,,,,,,Not started,
HRTBDA_COMBO_0194,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,TEXAS-TORNADOES,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/TEXAS-TORNADOES,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on TEXAS-TORNADOES",,,,,,,,Not started,
HRTBDA_COMBO_0195,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,TONGA-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/TONGA-VOLCANO,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on TONGA-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0196,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,TONGA-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/TONGA-VOLCANO,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on TONGA-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0197,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,xBD,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/xBD,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on xBD",,,,,,,,Not started,
HRTBDA_COMBO_0198,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,MOUNT-SEMERU-ERUPTION,HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION,xBD,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/xBD,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + MOUNT-SEMERU-ERUPTION, test on xBD",,,,,,,,Not started,
HRTBDA_COMBO_0199,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + STVINCENT-VOLCANO, test on EARTHQUAKE-TURKEY",,,,,,,,Not started,
HRTBDA_COMBO_0200,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + STVINCENT-VOLCANO, test on EARTHQUAKE-TURKEY",,,,,,,,Not started,
HRTBDA_COMBO_0201,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + STVINCENT-VOLCANO, test on HURRICANE-DELTA",,,,,,,,Not started,
HRTBDA_COMBO_0202,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + STVINCENT-VOLCANO, test on HURRICANE-DELTA",,,,,,,,Not started,
HRTBDA_COMBO_0203,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + STVINCENT-VOLCANO, test on HURRICANE-IAN",,,,,,,,Not started,
HRTBDA_COMBO_0204,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + STVINCENT-VOLCANO, test on HURRICANE-IAN",,,,,,,,Not started,
HRTBDA_COMBO_0205,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + STVINCENT-VOLCANO, test on HURRICANE-LAURA",,,,,,,,Not started,
HRTBDA_COMBO_0206,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + STVINCENT-VOLCANO, test on HURRICANE-LAURA",,,,,,,,Not started,
HRTBDA_COMBO_0207,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + STVINCENT-VOLCANO, test on MOUNT-SEMERU-ERUPTION",,,,,,,,Not started,
HRTBDA_COMBO_0208,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on HURRICANE-DELTA + STVINCENT-VOLCANO, test on MOUNT-SEMERU-ERUPTION",,,,,,,,Not started,
HRTBDA_COMBO_0209,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,HURRICANE-DELTA,STVINCENT-VOLCANO,HURRICANE-DELTA + STVINCENT-VOLCANO,STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,train,val,test,"Train HRTBDA from scratch on HURRICANE-DELTA + STVINCENT-VOLCANO, test on STVINCENT-VOLCANO",,,,,,,,Not started,
