Experiment_ID,Model,Model_Full_Name,Transfer_Learning_Mode,Initialization,Train_Dataset_A,Train_Dataset_B,Train_Combination,Test_Dataset_C,Train_A_Path,Train_B_Path,Test_C_Path,Train_Split,Validation_Split,Test_Split,Experiment_Description,Localization_F1,No_Damage_F1,Minor_Damage_F1,Major_Damage_F1,Destroyed_F1,Damage_Macro_F1,Overall_Score,Run_Status,Notes
HRTBDA_COMBO_0011,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on STVINCENT-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0012,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on STVINCENT-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0013,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,TEXAS-TORNADOES,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/TEXAS-TORNADOES,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on TEXAS-TORNADOES",,,,,,,,Not started,
HRTBDA_COMBO_0014,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,TEXAS-TORNADOES,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/TEXAS-TORNADOES,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on TEXAS-TORNADOES",,,,,,,,Not started,
HRTBDA_COMBO_0015,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,TONGA-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/TONGA-VOLCANO,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on TONGA-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0016,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,TONGA-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/TONGA-VOLCANO,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on TONGA-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0017,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,xBD,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/xBD,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on xBD",,,,,,,,Not started,
HRTBDA_COMBO_0018,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-DELTA,EARTHQUAKE-TURKEY + HURRICANE-DELTA,xBD,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/xBD,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-DELTA, test on xBD",,,,,,,,Not started,
HRTBDA_COMBO_0019,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on EARTHQUAKE-TURKEY",,,,,,,,Not started,
HRTBDA_COMBO_0020,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on EARTHQUAKE-TURKEY",,,,,,,,Not started,
HRTBDA_COMBO_0021,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on HURRICANE-DELTA",,,,,,,,Not started,
